,epsilon,error,runtime,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1
0,1.0,0.02425998215985797,4.92416524887085,,,,,,
0,0.5,0.04851996454137298,4.920966386795044,0.0,,,,,
1,0.25,0.0970399303063862,4.965105056762695,0.0,0.0,,,,
2,0.2,0.12129991339974852,4.912071228027344,1.0,0.0,0.0,,,
3,0.15,0.16173321446703473,4.891561508178711,2.0,1.0,0.0,0.0,,
4,0.1,0.24259981199152705,4.880422115325928,3.0,2.0,1.0,0.0,0.0,
5,0.1,0.24259981199152705,4.8165504932403564,4.0,3.0,2.0,1.0,0.0,0.0
