,epsilon,error,runtime,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1
0,1.0,0.055527672757992315,3.2686352729797363,,,,,,
0,0.5,0.11105402150555736,3.2830941677093506,0.0,,,,,
1,0.25,0.22211348101916725,3.28798508644104,0.0,0.0,,,,
2,0.2,0.2776407442576793,3.287961721420288,1.0,0.0,0.0,,,
3,0.15,0.3701835997672622,3.2854442596435547,2.0,1.0,0.0,0.0,,
4,0.1,0.5552762080404254,3.2789676189422607,3.0,2.0,1.0,0.0,0.0,
5,0.1,0.5552762080404254,3.2769999504089355,4.0,3.0,2.0,1.0,0.0,0.0
