,epsilon,error,runtime,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1
0,1.0,0.036931410244686186,0.9975743293762207,,,,,,
0,0.5,0.07386618059120449,0.9936134815216064,0.0,,,,,
1,0.25,0.1477327802334679,0.9877536296844482,0.0,0.0,,,,
2,0.2,0.18466400228252453,0.9967367649078368,1.0,0.0,0.0,,,
3,0.15,0.2462103733829426,0.9864263534545898,2.0,1.0,0.0,0.0,,
4,0.1,0.3693280664725688,0.9836020469665528,3.0,2.0,1.0,0.0,0.0,
5,0.1,0.3693280664725688,0.9866702556610109,4.0,3.0,2.0,1.0,0.0,0.0
